,method,n,d,q,p,depth,error,is_wrong
0,mul,1,512,15,3,0,0.5539150238037109,True
1,mul,1,512,15,3,0,0.5788528919219971,True
2,mul,1,512,15,3,0,0.5712771415710449,True
3,mul,1,512,15,3,0,0.5484647750854492,True
4,mul,1,512,15,3,0,0.5674088001251221,True
5,mul,1,512,15,3,0,0.5424197912216187,True
6,mul,3,256,13,3,0,0.5746994018554688,True
7,mul,3,256,13,3,0,0.5355253219604492,True
8,mul,3,256,13,3,0,0.5533351898193359,True
9,mul,1,512,15,3,0,0.5398998260498047,True
10,mul,3,256,13,3,0,0.5918436050415039,True
11,mul,1,512,15,3,0,0.5566662549972534,True
12,mul,3,256,13,3,0,0.5340557098388672,True
13,mul,3,256,13,3,0,0.5592880249023438,True
14,mul,1,512,15,3,0,0.5583491325378418,True
15,mul,3,256,13,3,0,0.4926576614379883,True
16,mul,1,512,15,3,0,0.5655744075775146,True
17,mul,3,256,13,3,0,0.5555315017700195,True
18,mul,1,512,15,3,0,0.5599400997161865,True
19,mul,3,256,13,3,0,0.5763254165649414,True
20,mul,1,512,15,3,0,0.5740319490432739,True
21,mul,1,512,15,3,0,0.5822876691818237,True
22,mul,1,512,15,3,0,0.56974196434021,True
23,mul,3,256,13,3,0,0.538996696472168,True
24,mul,1,512,15,3,0,0.5973871946334839,True
25,mul,3,256,13,3,0,0.5438013076782227,True
26,mul,3,256,13,3,0,0.5919628143310547,True
27,mul,3,256,13,3,0,0.5781631469726562,True
28,mul,1,512,15,3,0,0.5542131662368774,True
29,mul,3,256,13,3,0,0.582585334777832,True
30,mul,1,512,15,3,0,0.5619961023330688,True
31,mul,1,512,15,3,0,0.5783010721206665,True
32,mul,1,512,15,3,0,0.556524395942688,True
33,mul,3,256,13,3,0,0.5728702545166016,True
34,mul,3,256,13,3,0,0.5267333984375,True
35,mul,1,512,15,3,0,0.5432273149490356,True
36,mul,3,256,13,3,0,0.5456352233886719,True
37,mul,3,256,13,3,0,0.5800447463989258,True
38,mul,3,256,13,3,0,0.5692081451416016,True
39,mul,3,256,13,3,0,0.574427604675293,True
40,add,3,256,13,3,0,0.048473358154296875,False
41,add,3,256,13,3,1,0.07517051696777344,False
42,add,3,256,13,3,2,0.09891319274902344,False
43,add,3,256,13,3,3,0.12607574462890625,False
44,add,3,256,13,3,4,0.14939117431640625,False
45,add,3,256,13,3,5,0.1726083755493164,False
46,add,3,256,13,3,6,0.1955699920654297,False
47,add,3,256,13,3,7,0.2191753387451172,False
48,add,3,256,13,3,8,0.24237918853759766,False
49,add,3,256,13,3,9,0.26845264434814453,True
50,add,3,256,13,3,0,0.048503875732421875,False
51,add,3,256,13,3,1,0.07068061828613281,False
52,add,3,256,13,3,2,0.09453105926513672,False
53,add,3,256,13,3,3,0.11809825897216797,False
54,add,3,256,13,3,4,0.1438617706298828,False
55,add,3,256,13,3,5,0.16421127319335938,False
56,add,3,256,13,3,6,0.18647193908691406,False
57,add,3,256,13,3,7,0.2104969024658203,False
58,add,3,256,13,3,8,0.23293590545654297,False
59,add,3,256,13,3,9,0.2650632858276367,True
60,add,3,256,13,3,0,0.04348182678222656,False
61,add,3,256,13,3,1,0.06839179992675781,False
62,add,3,256,13,3,2,0.09230327606201172,False
63,add,3,256,13,3,3,0.11867904663085938,False
64,add,3,256,13,3,4,0.14160823822021484,False
65,add,3,256,13,3,5,0.16535472869873047,False
66,add,3,256,13,3,6,0.19140243530273438,False
67,add,3,256,13,3,7,0.21453380584716797,False
