,method,n,d,q,p,time
0,KeyGen,32,10,32,3,2.2448972597001555
1,Encryption,32,10,32,3,0.05564367119986855
2,Decrypt,32,10,32,3,0.0014470287002041004
3,Addition,32,10,32,3,0.00015850130002945662
4,Multiplication,32,10,32,3,1.7951349451002898
5,KeyGen,32,12,32,3,2.8342135627000973
6,Encryption,32,12,32,3,0.06402034900020226
7,Decrypt,32,12,32,3,0.001891455999793834
8,Addition,32,12,32,3,0.00017401459990651347
9,Multiplication,32,12,32,3,2.374836168600086
10,KeyGen,32,14,32,3,3.4543468583000503
11,Encryption,32,14,32,3,0.08044884689988976
12,Decrypt,32,14,32,3,0.0023879582000517984
13,Addition,32,14,32,3,0.00018889290004153736
14,Multiplication,32,14,32,3,3.020574045799731
15,KeyGen,32,8,32,3,1.4678156416001003
16,Encryption,32,8,32,3,0.03355189979993156
17,Decrypt,32,8,32,3,0.0010402613999758615
18,Addition,32,8,32,3,0.0001448399001674261
19,Multiplication,32,8,32,3,1.286280561700187
20,KeyGen,32,6,32,3,1.0473190881999472
21,Encryption,32,6,32,3,0.02293427109980257
22,Decrypt,32,6,32,3,0.0007270639998750994
23,Addition,32,6,32,3,0.00013174469968362245
24,Multiplication,32,6,32,3,0.9049727960999008
25,KeyGen,32,2,32,3,0.40152959850020126
26,Encryption,32,2,32,3,0.009165125200161129
27,Decrypt,32,2,32,3,0.00033444789987697733
28,Addition,32,2,32,3,0.00011210630000277889
29,Multiplication,32,2,32,3,0.303601134100245
30,KeyGen,32,1,32,3,0.2834555630000978
31,Encryption,32,1,32,3,0.00630419310000434
32,Decrypt,32,1,32,3,0.00023776189991622231
33,Addition,32,1,32,3,0.00010336410014133435
34,Multiplication,32,1,32,3,0.21096708059994854
35,KeyGen,32,4,32,3,0.66254651570016
36,Encryption,32,4,32,3,0.016341464199649637
37,Decrypt,32,4,32,3,0.00048093590012285856
38,Addition,32,4,32,3,0.00011648539984889794
39,Multiplication,32,4,32,3,0.5502879847001168
40,KeyGen,32,16,32,3,4.49698948289988
41,Encryption,32,16,32,3,0.09450516949982557
42,Decrypt,32,16,32,3,0.0028432175997295415
43,Addition,32,16,32,3,0.00019722409997484646
44,Multiplication,32,16,32,3,3.8405285529999675
45,KeyGen,32,18,32,3,4.895336067599783
46,Encryption,32,18,32,3,0.14402247079997324
47,Decrypt,32,18,32,3,0.003883833099826006
48,Addition,32,18,32,3,0.00023022669993224553
49,Multiplication,32,18,32,3,4.68361868610009
50,KeyGen,32,20,32,3,5.822082131500065
51,Encryption,32,20,32,3,0.14096572330017806
52,Decrypt,32,20,32,3,0.0041053226999792965
53,Addition,32,20,32,3,0.00022588669999095145
54,Multiplication,32,20,32,3,5.50380255850032
55,KeyGen,32,22,32,3,6.790766726900256
56,Encryption,32,22,32,3,0.19718048389986506
57,Decrypt,32,22,32,3,0.0061872916998254365
58,Addition,32,22,32,3,0.0003483192002022406
59,Multiplication,32,22,32,3,6.688833855199846
60,KeyGen,32,24,32,3,7.720982261500103
61,Encryption,32,24,32,3,0.21370199529992534
62,Decrypt,32,24,32,3,0.006670308699904126
63,Addition,32,24,32,3,0.000292604000060237
64,Multiplication,32,24,32,3,7.608825671600061
65,KeyGen,32,26,32,3,8.929298488700079
66,Encryption,32,26,32,3,0.23888393540000835
67,Decrypt,32,26,32,3,0.006579952000174671
68,Addition,32,26,32,3,0.0002702375997614581
69,Multiplication,32,26,32,3,8.7556738563002
70,KeyGen,32,28,32,3,9.939637441300146
71,Encryption,32,28,32,3,0.256219000299825
72,Decrypt,32,28,32,3,0.007582500799981062
73,Addition,32,28,32,3,0.00028358090021356474
74,Multiplication,32,28,32,3,9.995969250300186
75,KeyGen,30,22,32,3,5.289004358899911
76,Encryption,30,22,32,3,0.14805786500000978
77,Decrypt,30,22,32,3,0.004609685600007652
78,Addition,30,22,32,3,0.0002249436998681631
79,Multiplication,30,22,32,3,5.392964017900158
80,KeyGen,30,24,32,3,6.173129079100181
81,Encryption,30,24,32,3,0.18213696140010144
82,Decrypt,30,24,32,3,0.006882536700140917
83,Addition,30,24,32,3,0.0006116027001553448
84,Multiplication,30,24,32,3,6.258044881099704
85,KeyGen,32,30,32,3,11.138181456800158
86,Encryption,32,30,32,3,0.300709014899985
87,Decrypt,32,30,32,3,0.008509575100106304
88,Addition,32,30,32,3,0.00028890700014017057
89,Multiplication,32,30,32,3,11.464857592000044
90,KeyGen,30,20,32,3,4.607200599300268
91,Encryption,30,20,32,3,0.13217784460030088
92,Decrypt,30,20,32,3,0.004071969500000705
93,Addition,30,20,32,3,0.00021790850005345419
94,Multiplication,30,20,32,3,4.6313262911000495
95,KeyGen,30,26,32,3,7.0194707893999295
96,Encryption,30,26,32,3,0.210129729700202
97,Decrypt,30,26,32,3,0.006334634299855679
98,Addition,30,26,32,3,0.0002564622998761479
99,Multiplication,30,26,32,3,7.527800577000017
100,KeyGen,30,18,32,3,3.8286380784000356
101,Encryption,30,18,32,3,0.11089139389987394
102,Decrypt,30,18,32,3,0.0034578548002173193
103,Addition,30,18,32,3,0.00020538120006676763
104,Multiplication,30,18,32,3,3.8204973886997324
105,KeyGen,30,2,32,3,0.3292798138001672
106,Encryption,30,2,32,3,0.007390455599670531
107,Decrypt,30,2,32,3,0.0002850849999958882
108,Addition,30,2,32,3,0.00010640929976943881
109,Multiplication,30,2,32,3,0.25188094929981164
110,KeyGen,30,4,32,3,0.5542715848998341
111,Encryption,30,4,32,3,0.01321558579984412
112,Decrypt,30,4,32,3,0.00044842829993285704
113,Addition,30,4,32,3,0.00011156930013385135
114,Multiplication,30,4,32,3,0.4417773910998221
115,KeyGen,30,16,32,3,3.174703046599825
116,Encryption,30,16,32,3,0.08538095850017272
117,Decrypt,30,16,32,3,0.0027473529997223524
118,Addition,30,16,32,3,0.0001835988001403166
119,Multiplication,30,16,32,3,3.121204480199958
120,KeyGen,30,1,32,3,0.22033412070013583
121,Encryption,30,1,32,3,0.005270173600001727
122,Decrypt,30,1,32,3,0.00021682650003640447
123,Addition,30,1,32,3,9.835910022957251e-05
124,Multiplication,30,1,32,3,0.17424496370003908
125,KeyGen,30,28,32,3,7.955155947599996
126,Encryption,30,28,32,3,0.2282207105999987
127,Decrypt,30,28,32,3,0.007222310699944501
128,Addition,30,28,32,3,0.0002663644998392556
129,Multiplication,30,28,32,3,8.399353655800223
130,KeyGen,30,6,32,3,0.9280291659000796
131,Encryption,30,6,32,3,0.022579109499929473
132,Decrypt,30,6,32,3,0.0007772032000502805
133,Addition,30,6,32,3,0.00013896589989599307
134,Multiplication,30,6,32,3,0.7328565194002294
135,KeyGen,30,8,32,3,1.2121354443999734
136,Encryption,30,8,32,3,0.03277628059986455
137,Decrypt,30,8,32,3,0.0011462967999250396
138,Addition,30,8,32,3,0.00014199700017343276
139,Multiplication,30,8,32,3,1.0521864807000383
140,KeyGen,30,14,32,3,2.651906946600138
141,Encryption,30,14,32,3,0.0748834235000686
142,Decrypt,30,14,32,3,0.002325043300152174
143,Addition,30,14,32,3,0.0001852077999501489
144,Multiplication,30,14,32,3,2.545840435499849
145,KeyGen,32,32,32,3,12.484490245000051
146,Encryption,32,32,32,3,0.36239138999990245
147,Decrypt,32,32,32,3,0.01075346260004153
148,Addition,32,32,32,3,0.0003050532999623101
149,Multiplication,32,32,32,3,12.758269375199962
150,KeyGen,30,10,32,3,1.6650973116997192
151,Encryption,30,10,32,3,0.042758441099795166
152,Decrypt,30,10,32,3,0.0013163463998353108
153,Addition,30,10,32,3,0.0001565312999446178
154,Multiplication,30,10,32,3,1.4982895573997665
155,KeyGen,30,12,32,3,2.203087581600266
156,Encryption,30,12,32,3,0.05356446500009042
157,Decrypt,30,12,32,3,0.0017265348997170804
158,Addition,30,12,32,3,0.00016568850005569403
159,Multiplication,30,12,32,3,1.9564658096998755
160,KeyGen,30,30,32,3,9.04055593439989
161,Encryption,30,30,32,3,0.2635339200998715
162,Decrypt,30,30,32,3,0.008118624399867259
163,Addition,30,30,32,3,0.0002811878002830781
164,Multiplication,30,30,32,3,9.61590618549999
165,KeyGen,30,32,32,3,10.069628485000067
166,Encryption,30,32,32,3,0.2969312474000617
167,Decrypt,30,32,32,3,0.009009488899755525
168,Addition,30,32,32,3,0.0002888189999794122
169,Multiplication,30,32,32,3,10.636347599800137
170,KeyGen,28,12,32,3,1.681410387199867
171,Encryption,28,12,32,3,0.05284280160012713
172,Decrypt,28,12,32,3,0.0016809209999337326
173,Addition,28,12,32,3,0.0001555693001137115
174,Multiplication,28,12,32,3,1.5935003416001563
175,KeyGen,28,14,32,3,2.161649118399873
176,Encryption,28,14,32,3,0.061623581600360924
177,Decrypt,28,14,32,3,0.002128724299836904
178,Addition,28,14,32,3,0.000165552500038757
179,Multiplication,28,14,32,3,2.110343837399705
180,KeyGen,28,16,32,3,2.6206382279000535
181,Encryption,28,16,32,3,0.08060190159994818
182,Decrypt,28,16,32,3,0.002988112200182513
183,Addition,28,16,32,3,0.0001809828001569258
184,Multiplication,28,16,32,3,2.6472379534003267
185,KeyGen,28,10,32,3,1.3095071612002358
186,Encryption,28,10,32,3,0.04002997019997565
187,Decrypt,28,10,32,3,0.0013767737000307534
188,Addition,28,10,32,3,0.00014511800000036602
189,Multiplication,28,10,32,3,1.309359453399884
190,KeyGen,28,4,32,3,0.44465267640007367
191,Encryption,28,4,32,3,0.015943592400071795
192,Decrypt,28,4,32,3,0.00044624130023294126
193,Addition,28,4,32,3,0.00011559640006453265
194,Multiplication,28,4,32,3,0.4087274558001809
195,KeyGen,28,2,32,3,0.280614663400047
196,Encryption,28,2,32,3,0.006814518100145506
197,Decrypt,28,2,32,3,0.0002870300002541626
198,Addition,28,2,32,3,9.975400025723502e-05
199,Multiplication,28,2,32,3,0.21981055310025113
200,KeyGen,28,8,32,3,1.0228093051999168
201,Encryption,28,8,32,3,0.029723763600122764
202,Decrypt,28,8,32,3,0.0009949006998795085
203,Addition,28,8,32,3,0.00013160180023987777
204,Multiplication,28,8,32,3,0.868603696399805
205,KeyGen,28,1,32,3,0.17811402289989928
206,Encryption,28,1,32,3,0.0042933665001328334
207,Decrypt,28,1,32,3,0.00019330510003783273
208,Addition,28,1,32,3,9.800200023164507e-05
209,Multiplication,28,1,32,3,0.13188816420006333
210,KeyGen,28,18,32,3,3.167611521099752
211,Encryption,28,18,32,3,0.09480194979987573
212,Decrypt,28,18,32,3,0.0032865305001905654
213,Addition,28,18,32,3,0.0001955330000782851
214,Multiplication,28,18,32,3,3.4056068359001075
215,KeyGen,28,6,32,3,0.728060283800005
216,Encryption,28,6,32,3,0.020122979499865322
217,Decrypt,28,6,32,3,0.0007111337999958778
218,Addition,28,6,32,3,0.00012482659985835198
219,Multiplication,28,6,32,3,0.6163325045999954
220,KeyGen,28,20,32,3,3.99226089900003
221,Encryption,28,20,32,3,0.1299577337998926
222,Decrypt,28,20,32,3,0.004036447100224905
223,Addition,28,20,32,3,0.00020022610005980822
224,Multiplication,28,20,32,3,3.9231914449999747
225,KeyGen,28,22,32,3,4.471876801899998
226,Encryption,28,22,32,3,0.13497555059984734
227,Decrypt,28,22,32,3,0.005638919500051997
228,Addition,28,22,32,3,0.0005051815998740495
229,Multiplication,28,22,32,3,4.500056640500043
230,KeyGen,28,24,32,3,5.42579905829989
231,Encryption,28,24,32,3,0.15677638159977506
232,Decrypt,28,24,32,3,0.007783515299888677
233,Addition,28,24,32,3,0.00042225180004606955
234,Multiplication,28,24,32,3,5.1077348892999
235,KeyGen,28,26,32,3,5.823585605400149
236,Encryption,28,26,32,3,0.1935816588000307
237,Decrypt,28,26,32,3,0.006105661299807252
238,Addition,28,26,32,3,0.00023921399988466874
239,Multiplication,28,26,32,3,5.9755035248999775
240,KeyGen,28,28,32,3,6.62666610899978
241,Encryption,28,28,32,3,0.19571019620016158
242,Decrypt,28,28,32,3,0.006683348400110844
243,Addition,28,28,32,3,0.0002545292998547666
244,Multiplication,28,28,32,3,6.944326719899982
245,KeyGen,28,30,32,3,7.53525284440002
246,Encryption,28,30,32,3,0.2321784857998864
247,Decrypt,28,30,32,3,0.007441713200023514
248,Addition,28,30,32,3,0.0002584744001069339
249,Multiplication,28,30,32,3,7.749769407699932
250,KeyGen,26,20,32,3,3.059060457300075
251,Encryption,26,20,32,3,0.10580976410019502
252,Decrypt,26,20,32,3,0.0039561505996971395
253,Addition,26,20,32,3,0.00021776559988211374
254,Multiplication,26,20,32,3,3.0304384462000598
255,KeyGen,26,24,32,3,4.060589756400077
256,Encryption,26,24,32,3,0.14152060619999246
257,Decrypt,26,24,32,3,0.004552824100028374
258,Addition,26,24,32,3,0.00020570130000123753
259,Multiplication,26,24,32,3,4.174031485499654
260,KeyGen,26,18,32,3,2.52963701339977
261,Encryption,26,18,32,3,0.08028082720011298
262,Decrypt,26,18,32,3,0.0029513066001527477
263,Addition,26,18,32,3,0.00018106980023731013
264,Multiplication,26,18,32,3,2.5488958089001246
265,KeyGen,26,16,32,3,2.1352318565001043
266,Encryption,26,16,32,3,0.07283576489971892
267,Decrypt,26,16,32,3,0.0026516734000324505
268,Addition,26,16,32,3,0.00017176460023620165
269,Multiplication,26,16,32,3,2.098040163999758
270,KeyGen,26,22,32,3,3.64741144169966
271,Encryption,26,22,32,3,0.1121760109999741
272,Decrypt,26,22,32,3,0.004085924399987562
273,Addition,26,22,32,3,0.00019891310003004037
274,Multiplication,26,22,32,3,3.6380513932999747
