,method,n,d,q,p,time
0,KeyGen,8,8,64,3,0.02942179860037868
1,Encryption,8,8,64,3,0.0026920474003418347
2,Decrypt,8,8,64,3,0.0003344366996316239
3,Addition,8,8,64,3,5.991420039208606e-05
4,Multiplication,8,8,64,3,0.028899006299616302
5,KeyGen,8,8,64,1,0.02954992619997938
6,Encryption,8,8,64,1,0.002679170099872863
7,Decrypt,8,8,64,1,0.0003565901002730243
8,Addition,8,8,64,1,6.0758200561394915e-05
9,Multiplication,8,8,64,1,0.028884192999976223
10,KeyGen,8,8,64,4,0.028756170500128065
11,Encryption,8,8,64,4,0.002665198799513746
12,Decrypt,8,8,64,4,0.0003337125999678392
13,Addition,8,8,64,4,6.116320000728592e-05
14,Multiplication,8,8,64,4,0.029756533299951114
15,KeyGen,8,8,64,2,0.03134889290013234
16,Encryption,8,8,64,2,0.002720885999588063
17,Decrypt,8,8,64,2,0.00033676469975034705
18,Addition,8,8,64,2,5.9162200341233986e-05
19,Multiplication,8,8,64,2,0.029340242000034777
20,KeyGen,8,8,64,6,0.02941921659949003
21,Encryption,8,8,64,6,0.0027701099999831056
22,Decrypt,8,8,64,6,0.0003463848996034358
23,Addition,8,8,64,6,6.087319998187013e-05
24,Multiplication,8,8,64,6,0.03162871449967497
25,KeyGen,8,8,62,7,0.030298181000398473
26,Encryption,8,8,62,7,0.002629256100044586
27,Decrypt,8,8,62,7,0.00033494860035716557
28,Addition,8,8,62,7,6.091519971960224e-05
29,Multiplication,8,8,62,7,0.030534706699836534
30,KeyGen,8,8,64,5,0.027928650000103517
31,Encryption,8,8,64,5,0.0027269291000266093
32,Decrypt,8,8,64,5,0.0003255944000557065
33,Addition,8,8,64,5,5.8987200463889164e-05
34,Multiplication,8,8,64,5,0.033366375899640845
35,KeyGen,8,8,62,8,0.030914348299847915
36,Encryption,8,8,62,8,0.002754513599938946
37,Decrypt,8,8,62,8,0.0003363515999808442
38,Addition,8,8,62,8,5.840119993081316e-05
39,Multiplication,8,8,62,8,0.03339125639977283
40,KeyGen,8,8,64,7,0.03207056120008929
41,Encryption,8,8,64,7,0.002802359599445481
42,Decrypt,8,8,64,7,0.00033630260004429146
43,Addition,8,8,64,7,6.143719947431237e-05
44,Multiplication,8,8,64,7,0.033640092400310094
45,KeyGen,8,8,64,8,0.03244861769999261
46,Encryption,8,8,64,8,0.002825187100097537
47,Decrypt,8,8,64,8,0.00029881700029363854
48,Addition,8,8,64,8,5.5619100021431225e-05
49,Multiplication,8,8,64,8,0.03426581169987912
50,KeyGen,8,8,64,9,0.03338032009996823
51,Encryption,8,8,64,9,0.003038437299983343
52,Decrypt,8,8,64,9,0.00033808770022005776
53,Addition,8,8,64,9,6.0618199495365846e-05
54,Multiplication,8,8,64,9,0.037153550000221004
