,method,n,d,q,p,time
0,KeyGen,1,1,32767,35184372088831,0.00024780899984762074
1,Encryption,1,1,32767,35184372088831,0.00011707640005624853
2,Decrypt,1,1,32767,35184372088831,6.126520020188764e-05
3,Addition,1,1,32767,35184372088831,3.027059938176535e-05
4,Multiplication,1,1,32767,35184372088831,0.0003014639994944446
5,KeyGen,1,2,32767,35184372088831,0.00026436339976498857
6,Encryption,1,2,32767,35184372088831,0.00017979960030061192
7,Decrypt,1,2,32767,35184372088831,6.657320045633242e-05
8,Addition,1,2,32767,35184372088831,2.673459966899827e-05
9,Multiplication,1,2,32767,35184372088831,0.00036339320067781957
10,KeyGen,1,4,32767,35184372088831,0.0002004100002523046
11,Encryption,1,4,32767,35184372088831,0.0001329548002104275
12,Decrypt,1,4,32767,35184372088831,7.157159998314456e-05
13,Addition,1,4,32767,35184372088831,2.8762600413756446e-05
14,Multiplication,1,4,32767,35184372088831,0.0003686213996843435
15,KeyGen,1,6,32767,35184372088831,0.00027338159998180345
16,Encryption,1,6,32767,35184372088831,0.0001804298000934068
17,Decrypt,1,6,32767,35184372088831,8.451160028926097e-05
18,Addition,1,6,32767,35184372088831,2.9212599474703894e-05
19,Multiplication,1,6,32767,35184372088831,0.0003983141999924555
20,KeyGen,1,8,32767,35184372088831,0.0002608351998787839
21,Encryption,1,8,32767,35184372088831,0.00019800399968517013
22,Decrypt,1,8,32767,35184372088831,9.026379993883892e-05
23,Addition,1,8,32767,35184372088831,2.914260039688088e-05
24,Multiplication,1,8,32767,35184372088831,0.0004587394003465306
25,KeyGen,1,10,32767,35184372088831,0.00030083219971857036
26,Encryption,1,10,32767,35184372088831,0.00020529419998638332
27,Decrypt,1,10,32767,35184372088831,9.994600040954537e-05
28,Addition,1,10,32767,35184372088831,3.216280019842088e-05
29,Multiplication,1,10,32767,35184372088831,0.0005388630001107231
30,KeyGen,1,12,32767,35184372088831,0.00034665900020627307
31,Encryption,1,12,32767,35184372088831,0.00023862279995228163
32,Decrypt,1,12,32767,35184372088831,0.000114442400081316
33,Addition,1,12,32767,35184372088831,3.131679986836389e-05
34,Multiplication,1,12,32767,35184372088831,0.0006432589994801674
35,KeyGen,1,14,32767,35184372088831,0.0003167144001054112
36,Encryption,1,14,32767,35184372088831,0.00020943439958500675
37,Decrypt,1,14,32767,35184372088831,0.00010134600015589967
38,Addition,1,14,32767,35184372088831,2.4330599990207703e-05
39,Multiplication,1,14,32767,35184372088831,0.0005995539999275934
40,KeyGen,1,16,32767,35184372088831,0.00034751700004562733
41,Encryption,1,16,32767,35184372088831,0.00023909480005386287
42,Decrypt,1,16,32767,35184372088831,0.00011994439992122353
43,Addition,1,16,32767,35184372088831,2.492059938958846e-05
44,Multiplication,1,16,32767,35184372088831,0.000679519800178241
45,KeyGen,1,18,32767,35184372088831,0.00026854339957935733
46,Encryption,1,18,32767,35184372088831,0.00018727779970504344
47,Decrypt,1,18,32767,35184372088831,8.833379979478195e-05
48,Addition,1,18,32767,35184372088831,1.9134400645270944e-05
49,Multiplication,1,18,32767,35184372088831,0.0005403547998866998
50,KeyGen,1,20,32767,35184372088831,0.0003040080002392642
51,Encryption,1,20,32767,35184372088831,0.00021132219990249723
52,Decrypt,1,20,32767,35184372088831,0.00012518460061983205
53,Addition,1,20,32767,35184372088831,2.8286599990678952e-05
54,Multiplication,1,20,32767,35184372088831,0.0006677713994577061
55,KeyGen,1,22,32767,35184372088831,0.00033776499985833653
56,Encryption,1,22,32767,35184372088831,0.0002330087998416275
57,Decrypt,1,22,32767,35184372088831,0.00010851620027096942
58,Addition,1,22,32767,35184372088831,1.780439997673966e-05
59,Multiplication,1,22,32767,35184372088831,0.0006972062001295853
60,KeyGen,1,24,32767,35184372088831,0.00037332560023060066
61,Encryption,1,24,32767,35184372088831,0.0002592032004031353
62,Decrypt,1,24,32767,35184372088831,0.00014379280037246644
63,Addition,1,24,32767,35184372088831,2.7490399952512233e-05
64,Multiplication,1,24,32767,35184372088831,0.0008244468001066708
65,KeyGen,1,26,32767,35184372088831,0.00042362059975857845
66,Encryption,1,26,32767,35184372088831,0.0002935280004749075
67,Decrypt,1,26,32767,35184372088831,0.00013380079981288872
68,Addition,1,26,32767,35184372088831,1.9828399672405794e-05
69,Multiplication,1,26,32767,35184372088831,0.00090295240006526
70,KeyGen,1,28,32767,35184372088831,0.0005051601998275146
71,Encryption,1,28,32767,35184372088831,0.0003228864006814547
72,Decrypt,1,28,32767,35184372088831,0.0001476190001994837
73,Addition,1,28,32767,35184372088831,1.8542200268711895e-05
74,Multiplication,1,28,32767,35184372088831,0.0010114084005181212
75,KeyGen,1,30,32767,35184372088831,0.0005125004005094525
76,Encryption,1,30,32767,35184372088831,0.00036973160022171216
77,Decrypt,1,30,32767,35184372088831,0.00016696120001142846
